,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,P,0.0
1,Marseille,2020,HCH,0.0
2,Marseille,2020,HPH,0.0
3,Marseille,2020,HCE,0.0
4,Marseille,2020,HPE,0.0
5,Marseille,2030,P,1810.8327019405424
6,Marseille,2030,HCH,1888.0827019405422
7,Marseille,2030,HPH,1888.0827019405422
8,Marseille,2030,HCE,1888.0827019405422
9,Marseille,2030,HPE,1888.0827019405422
10,Marseille,2040,P,3085.2654467085995
11,Marseille,2040,HCH,3132.3654467085994
12,Marseille,2040,HPH,3132.3654467085994
13,Marseille,2040,HCE,3132.3654467085994
14,Marseille,2040,HPE,3132.3654467085994
15,Marseille,2050,P,3518.3444737801306
16,Marseille,2050,HCH,3518.3444737801306
17,Marseille,2050,HPH,3518.3444737801306
18,Marseille,2050,HCE,3518.3444737801306
19,Marseille,2050,HPE,3518.3444737801306
