,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,P,0.0
1,Marseille,2020,HCH,0.0
2,Marseille,2020,HPH,0.0
3,Marseille,2020,HCE,0.0
4,Marseille,2020,HPE,0.0
5,Marseille,2030,P,1609.5863683309146
6,Marseille,2030,HCH,1609.5863683309146
7,Marseille,2030,HPH,1609.5863683309146
8,Marseille,2030,HCE,1609.5863683309146
9,Marseille,2030,HPE,1609.5863683309146
10,Marseille,2040,P,1614.165167428195
11,Marseille,2040,HCH,2046.669645666711
12,Marseille,2040,HPH,2046.669645666711
13,Marseille,2040,HCE,2046.669645666711
14,Marseille,2040,HPE,2046.669645666711
15,Marseille,2050,P,1951.0934354114513
16,Marseille,2050,HCH,2100.286218126975
17,Marseille,2050,HPH,2100.286218126975
18,Marseille,2050,HCE,2100.286218126975
19,Marseille,2050,HPE,2100.286218126975
