,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,P,0.0
1,Marseille,2020,HCH,0.0
2,Marseille,2020,HPH,0.0
3,Marseille,2020,HCE,0.0
4,Marseille,2020,HPE,0.0
5,Marseille,2030,P,0.0
6,Marseille,2030,HCH,-1.924820608739337e-32
7,Marseille,2030,HPH,-1.924820608739337e-32
8,Marseille,2030,HCE,0.0
9,Marseille,2030,HPE,0.0
10,Marseille,2040,P,1614.5279721350635
11,Marseille,2040,HCH,1615.128178157136
12,Marseille,2040,HPH,1615.128178157136
13,Marseille,2040,HCE,1615.128178157136
14,Marseille,2040,HPE,1615.128178157136
15,Marseille,2050,P,3103.8274099418977
16,Marseille,2050,HCH,3145.947058264633
17,Marseille,2050,HPH,3145.947058264633
18,Marseille,2050,HCE,3145.947058264633
19,Marseille,2050,HPE,3145.947058264633
